level,itl,name,year,GVA per Hour,Change in GVA per hour
ITL3,TLM92,Dumfries and Galloway,2004,24.6,99
ITL3,TLM93,East Ayrshire and North Ayrshire mainland,2004,22.3,101.9
ITL3,TLM94,South Ayrshire,2004,24.2,94.8
ITL3,TLM95,South Lanarkshire,2004,22.4,93.5
ITL1,TLN,Northern Ireland,2004,20.7,93.2
ITL2,TLN0,Northern Ireland,2004,20.7,93.2
ITL3,TLN06,Belfast,2004,20.8,91
ITL3,TLN07,"Armagh City, Banbridge and Craigavon",2004,18.2,89.3
ITL3,TLN08,"Newry, Mourne and Down",2004,23.8,113.7
ITL3,TLN09,Ards and North Down,2004,21.2,89
ITL3,TLN0A,Derry City and Strabane,2004,19.7,75.5
ITL3,TLN0B,Mid Ulster,2004,28,115
ITL3,TLN0C,Causeway Coast and Glens,2004,21.7,93.9
ITL3,TLN0D,Antrim and Newtownabbey,2004,23.4,89.3
ITL3,TLN0E,Lisburn and Castlereagh,2004,22.3,92.2
ITL3,TLN0F,Mid and East Antrim,2004,29.1,188.2
ITL3,TLN0G,Fermanagh and Omagh,2004,21.9,94.6
UK,UKX,United Kingdom less Extra-Regio,2005,25.4,90.2
Other,TLB,England,2005,25.9,91.6
ITL1,TLC,North East,2005,22.6,90.2
ITL2,TLC1,Tees Valley and Durham,2005,22.8,93.9
ITL3,TLC11,Hartlepool and Stockton-on-Tees,2005,24.1,94.2
ITL3,TLC12,South Teesside,2005,20.1,96
ITL3,TLC13,Darlington,2005,26.5,63
ITL3,TLC14,Durham CC,2005,22.5,108.7
ITL2,TLC2,"Northumberland, and Tyne and Wear",2005,22.5,87.7
ITL3,TLC21,Northumberland,2005,20.7,101.5
ITL3,TLC22,Tyneside,2005,22.3,85.5
ITL3,TLC23,Sunderland,2005,25,84.8
ITL1,TLD,North West,2005,23.6,94.4
ITL2,TLD1,Cumbria,2005,22.6,102.1
ITL3,TLD11,West Cumbria,2005,22.8,105.9
ITL3,TLD12,East Cumbria,2005,22.4,101.7
ITL2,TLD3,Greater Manchester,2005,22.7,88
ITL3,TLD33,Manchester,2005,24.4,91.8
ITL3,TLD34,Greater Manchester South West,2005,25.5,87.6
ITL3,TLD35,Greater Manchester South East,2005,21.2,91.9
ITL3,TLD36,Greater Manchester North West,2005,20.6,95.2
ITL3,TLD37,Greater Manchester North East,2005,20.5,88.6
ITL2,TLD4,Lancashire,2005,22.8,95.8
ITL3,TLD41,Blackburn with Darwen,2005,18.7,85
ITL3,TLD42,Blackpool,2005,18.5,95.3
ITL3,TLD44,Lancaster and Wyre,2005,22.5,95.8
ITL3,TLD45,Mid Lancashire,2005,27.2,102
ITL3,TLD46,East Lancashire,2005,21.3,94.8
ITL3,TLD47,Chorley and West Lancashire,2005,20.4,87.7
ITL2,TLD6,Cheshire,2005,28,101
ITL3,TLD61,Warrington,2005,25.8,84.8
ITL3,TLD62,Cheshire East,2005,31.2,110.7
ITL3,TLD63,Cheshire West and Chester,2005,26.1,101.5
ITL2,TLD7,Merseyside,2005,23.6,99.8
ITL3,TLD71,East Merseyside,2005,25.7,103.4
ITL3,TLD72,Liverpool,2005,24.6,107.7
ITL3,TLD73,Sefton,2005,18.5,88.9
ITL3,TLD74,Wirral,2005,22.7,97
ITL1,TLE,Yorkshire and The Humber,2005,22.5,94.7
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2005,23,96.5
ITL3,TLE11,"Kingston upon Hull, City of",2005,19.9,94.7
ITL3,TLE12,East Riding of Yorkshire,2005,26.5,113.3
ITL3,TLE13,North and North East Lincolnshire,2005,22.9,94
ITL2,TLE2,North Yorkshire,2005,25.1,102.4
ITL3,TLE21,York,2005,29.5,112.1
ITL3,TLE22,North Yorkshire CC,2005,23.4,97.2
ITL2,TLE3,South Yorkshire,2005,20.6,92
ITL3,TLE31,"Barnsley, Doncaster and Rotherham",2005,19,91
ITL3,TLE32,Sheffield,2005,22.5,91.7
ITL2,TLE4,West Yorkshire,2005,22.5,92.7
ITL3,TLE41,Bradford,2005,20.3,95.1
ITL3,TLE42,Leeds,2005,25.7,96
ITL3,TLE44,Calderdale and Kirklees,2005,18.8,88.3
