level,itl,name,year,Population
ITL2,TLM7,Eastern Scotland,2009,1294762.0
ITL2,TLM8,West Central Scotland,2009,1025259.0
ITL2,TLM9,Southern Scotland,2009,574558.0
ITL2,TLN0,Northern Ireland,2009,
ITL2,TLC1,Tees Valley and Durham,2010,743321.0
ITL2,TLC2,"Northumberland, and Tyne and Wear",2010,922401.0
ITL2,TLD1,Cumbria,2010,294473.0
ITL2,TLD3,Greater Manchester,2010,1811543.0
ITL2,TLD4,Lancashire,2010,922508.0
ITL2,TLD6,Cheshire,2010,564891.0
ITL2,TLD7,Merseyside,2010,979455.0
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2010,562640.0
ITL2,TLE2,North Yorkshire,2010,501652.0
ITL2,TLE3,South Yorkshire,2010,894503.0
ITL2,TLE4,West Yorkshire,2010,1473319.0
ITL2,TLF1,Derbyshire and Nottinghamshire,2010,1396007.0
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",2010,1160426.0
ITL2,TLF3,Lincolnshire,2010,452175.0
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",2010,822920.0
ITL2,TLG2,Shropshire and Staffordshire,2010,999163.0
ITL2,TLG3,West Midlands,2010,1856259.0
ITL2,TLH1,East Anglia,2010,1508791.0
ITL2,TLH2,Bedfordshire and Hertfordshire,2010,1165957.0
ITL2,TLH3,Essex,2010,1125193.0
ITL2,TLI3,Inner London - West,2010,867019.0
ITL2,TLI4,Inner London - East,2010,1747798.0
ITL2,TLI5,Outer London - East and North East,2010,1244207.0
ITL2,TLI6,Outer London - South,2010,840906.0
ITL2,TLI7,Outer London - West and North West,2010,1350898.0
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2010,1506916.0
ITL2,TLJ2,"Surrey, East and West Sussex",2010,1766901.0
ITL2,TLJ3,Hampshire and Isle of Wight,2010,1225855.0
ITL2,TLJ4,Kent,2010,1131174.0
ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",2010,1575738.0
ITL2,TLK2,Dorset and Somerset,2010,773201.0
ITL2,TLK3,Cornwall and Isles of Scilly,2010,332588.0
ITL2,TLK4,Devon,2010,713081.0
ITL2,TLL1,West Wales and The Valleys,2010,1202658.0
ITL2,TLL2,East Wales,2010,735608.0
ITL2,TLM5,North Eastern Scotland,2010,316660.0
ITL2,TLM6,Highlands and Islands,2010,281898.0
ITL2,TLM7,Eastern Scotland,2010,1294762.0
ITL2,TLM8,West Central Scotland,2010,1025259.0
ITL2,TLM9,Southern Scotland,2010,574558.0
ITL2,TLN0,Northern Ireland,2010,
ITL2,TLC1,Tees Valley and Durham,2011,743321.0
ITL2,TLC2,"Northumberland, and Tyne and Wear",2011,922401.0
ITL2,TLD1,Cumbria,2011,294473.0
ITL2,TLD3,Greater Manchester,2011,1811543.0
ITL2,TLD4,Lancashire,2011,922508.0
ITL2,TLD6,Cheshire,2011,564891.0
ITL2,TLD7,Merseyside,2011,979455.0
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2011,562640.0
ITL2,TLE2,North Yorkshire,2011,501652.0
ITL2,TLE3,South Yorkshire,2011,894503.0
ITL2,TLE4,West Yorkshire,2011,1473319.0
ITL2,TLF1,Derbyshire and Nottinghamshire,2011,1396007.0
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",2011,1160426.0
